id,content,comments,keywords,tendency,views,date
978572,"요즘 프랜차이즈 카페 아르바이트를 구하기가 어려운 이유에 대해 불만을 토로합니다. 여러 곳에 지원했지만 면접 후 연락이 없거나, 이력서만 보고 연락을 주지 않는 경우가 많습니다. 알바생을 구하는 것인데 높은 기준을 요구하는 것에 불만을 느낍니다.",,프랜차이즈 카페; 아르바이트; 채용,경험성,15,2025-02-02 00:23
978571,해보고 싶은 아르바이트에 지원했지만 읽씹을 당하고 새로운 공고가 올라왔습니다. 다시 지원할지 포기할지 고민 중입니다.,채용 과정에서 읽씹 당하는 이유를 모르겠습니다.,아르바이트 지원; 읽씹; 고민,질문성,23,2025-02-02 00:18
978570,"애슐리퀸즈의 세척 아르바이트는 12시부터 6시까지 혼자 해야 하는 일입니다. 혼자 가능한지 고민 중입니다. 매장은 안 바쁘다고 하는데, 경험이 없어 정보가 필요합니다.",,애슐리퀸즈; 세척 아르바이트; 혼자 근무,질문성,25,2025-02-02 00:07
978569,"여러 가지 이유로 아르바이트를 2달 만에 그만두어야 할 것 같은 상황에 처했습니다. 동료와의 불화, 출퇴근 거리 등 문제가 많아 고민 중입니다.",,아르바이트 그만두기; 동료 불화; 출퇴근 거리,질문성,25,2025-02-02 00:06
978568,"백화점 직원으로 일하고 있는데, 여러 비정상적인 조건 때문에 이직을 고려하고 있습니다. 출퇴근 기록 시스템이 없고, 계약서에 고용 형태와 근로 기간이 명시되어 있지 않습니다. 이전 직원들이 비슷한 시기에 그만둔 점도 우려됩니다.",,백화점 직원; 고용 조건; 이직,질문성,36,2025-02-02 00:00
978567,쿠팡 계약직 퇴사 후 단기 근무를 다른 센터에서 할 수 있는지 궁금합니다.,계약직 퇴사 후 3개월이 지나야 지원 가능합니다.,쿠팡 계약직; 단기 근무; 센터 이동,질문성,24,2025-02-01 23:59
978565,모델하우스에서 텔레마케팅 아르바이트를 시작하게 되었습니다. 사기라는 소문도 있어 걱정됩니다. 경험자의 조언이 필요합니다.,,모델하우스; 텔레마케팅; 아르바이트,질문성,20,2025-02-01 23:52
978564,"개인 카페에서 7개월 근무 후 동료와의 갈등으로 그만두었습니다. 감정 기복이 심한 동료와의 갈등이 원인입니다. 사장님은 좋은 분이지만, 동료 때문에 그만두게 되었습니다.",,개인 카페; 동료 갈등; 퇴사,경험성,78,2025-02-01 23:42
978562,와인 판매 아르바이트에 대한 정보를 찾고 있습니다. 시급이 높지만 확신이 서지 않습니다.,,와인 판매; 아르바이트; 시급,질문성,15,2025-02-01 23:32
978561,배달 전문 카페에서 다른 알바생의 잔소리로 스트레스를 받고 있습니다. 사장님보다 더 심한 간섭을 받아 어떻게 대처할지 고민입니다.,비슷한 경험을 했습니다. 간섭이 심한 동료 때문에 스트레스를 받았습니다.; 사장보다 더한 알바가 문제입니다. 다른 사람들은 방관하는 것 같습니다.; 정신적 스트레스를 감수하며 일할지 고민 중입니다.,배달 전문 카페; 알바 스트레스; 잔소리,질문성,95,2025-02-01 23:25
978560,물류직은 경기가 나쁘면 악성 재고로 인해 힘들어집니다. 창고에서 어려운 상황을 경험하며 퇴사하는 경우가 많습니다. 물류직의 어려움에 대해 설명합니다.,일을 잘하는 창고 직원이 필요합니다. 개편이 필요합니다.; 하청 물류는 대우가 좋지 않습니다.,물류직; 악성 재고; 창고,경험성,144,2025-02-01 23:19
978559,"폭력적인 상사와의 갈등으로 회사를 그만두었습니다. 언어와 제스처도 폭력이라고 주장하며, 참지 말고 대처해야 한다고 조언합니다.",잘 대처하셨습니다. 그런 환경에선 병이 생길 수 있습니다.,폭력적인 상사; 갈등; 퇴사,경험성,164,2025-02-01 23:13
978558,"아프다고 상사에게 혼난 경험을 공유합니다. 결근과 조퇴 문제로 갈등이 있었으며, 상사의 대응이 부당하다고 느낍니다.",사회생활은 냉정합니다.; 매장은 이익만 추구합니다.; 퇴사를 고려하세요.; 상사의 말이 맞을 수도 있습니다.,결근; 조퇴; 상사,경험성,136,2025-02-01 23:08
978557,교과서 피킹 물류에 대해 물어봅니다. 무거운 물건을 다루는 일이 걱정됩니다.,무거울 것 같습니다.,교과서 피킹; 물류; 무거운 물건,질문성,75,2025-02-01 22:56
978554,행사 부스에서 같은 일을 하면서 시급이 다르다는 점에 불만을 느낍니다. 더 높은 시급의 부스에 지원할지 고민입니다.,,행사 부스; 시급 차이; 아르바이트,질문성,253,2025-02-01 22:03
978551,"자동차보험 고객센터 업무에 대해 문의합니다. 자격증이 필요 없고, 텔레마케팅 업무입니다. 보험업에 대한 부정적인 소문이 있어 고민입니다.",,자동차보험; 고객센터; 텔레마케팅,질문성,62,2025-02-01 21:43
978549,생산직이 어렵다는 경험을 공유합니다. 라벨 부착 같은 단순 작업도 숙련이 필요합니다.,스티커 부착도 전문 기술이 필요합니다.; 세상에 쉬운 일은 없습니다.,생산직; 라벨 부착; 숙련,경험성,736,2025-02-01 21:01
978547,"백수 생활이 힘들다고 토로합니다. 일자리를 찾기 어렵고, 부모님께 의존하는 상황이 부담스럽습니다.",부모님께 감사하게 생각하세요.; 일자리가 생길 때까지 기다리세요.,백수 생활; 일자리; 부모 의존,경험성,445,2025-02-01 20:54
978544,공장 단순 작업에서 잘리는 사람에 대한 의문을 제기합니다. 이유가 무엇인지 궁금합니다.,일을 못하거나 무단결근이 이유가 될 수 있습니다.; 중소기업은 일이 없으면 바로 퇴사시킵니다.,공장 단순 작업; 해고; 중소기업,질문성,548,2025-02-01 20:35
978543,23살 여성이 아르바이트를 구하는데 나이가 많아 떨어진 경험을 공유합니다. 20대 중반이 알바하는 것이 이상한지 궁금합니다.,23살이면 어린 편입니다.; 이상한 사장입니다.,아르바이트; 나이; 취업,질문성,545,2025-02-01 20:32
978540,알바 인원을 다 구해놓고도 이력서를 읽는 행위에 대해 의문을 제기합니다. 공고도 내리지 않아 혼란을 줍니다.,동의합니다.,알바; 이력서; 채용 과정,질문성,107,2025-02-01 20:22
978539,"롯데호텔에서 아르바이트비가 지급되지 않아 불만을 제기합니다. 약속된 지급일이 지나도록 입금이 없고, 담당자에게 연락했으나 무응답으로 일관합니다.",14일 넘기면 신고 대상입니다.; 노동청에 신고하면 받을 수 있습니다.,롯데호텔; 아르바이트비; 노동청,경험성,114,2025-02-01 20:16
978538,피시방 아르바이트를 시작했는데 3일차부터 혼자 근무해야 하는 상황입니다. 혼자 업무를 감당할 수 있을지 걱정됩니다.,신입에게 혼자 맡기는 것은 무리입니다. 매니저에게 말씀드리세요.; 피시방 아르바이트는 보통 하루나 이틀 교육 후 혼자 근무합니다.,피시방; 혼자 근무; 아르바이트,질문성,196,2025-02-01 20:16
978537,"수원 스타필드 프로젝트 매장에서 매니저의 부적절한 업무 태도에 대해 불만을 제기합니다. 교육 없이 업무를 맡기고, 질문에 무례하게 대응합니다.",동의합니다.,수원 스타필드; 매니저; 업무 태도,경험성,120,2025-02-01 20:15
978536,팝업스토어 아르바이트 면접 과정에서 사이비 종교와 관련된 의심이 듭니다. 면접에서 알바와 무관한 질문을 받아 의아함을 느꼈습니다.,팝업스토어로 포섭하는 사례가 있습니다.,팝업스토어; 면접; 사이비,질문성,138,2025-02-01 20:14
978534,특정 장소에서 여자가 할 수 있는 일에 대해 묻습니다.,없음,장소; 여성; 업무,질문성,175,2025-02-01 20:10
978533,3.3% 소득세 공제가 고용 기록에 남는지 궁금합니다. 고용보험과의 차이점에 대해 문의합니다.,"3.3%는 사업소득과 관련 있으며, 고용보험과는 다릅니다.; 고용 기록은 정규직과 고용보험 가입이 필요합니다.",3.3% 소득세; 고용 기록; 고용보험,질문성,269,2025-02-01 19:59
978532,쿠팡에서 주휴수당을 받기 위해 5일 연속 근무 계획을 세우고 있습니다. 각 캠프의 출근이 영향을 미치는지 궁금합니다.,센터로 가세요.,쿠팡; 주휴수당; 근무 계획,질문성,124,2025-02-01 19:54
978531,아이폰 서비스센터에서 일해본 경험이 있는지 질문합니다.,없음,아이폰 서비스센터; 일 경험,질문성,53,2025-02-01 19:41
978530,풍세이랜드 리치지게차 아르바이트에 대해 궁금합니다. 어떤 업무를 하게 되는지 질문합니다.,없음,풍세이랜드; 리치지게차; 아르바이트,질문성,33,2025-02-01 19:36
978528,2월에 아르바이트 구인 글이 적은 이유와 3월에 많아질지 궁금합니다.,3월에도 많아지지 않을 것 같습니다.; 4월쯤 티오가 있을 것입니다.,아르바이트; 구인; 시기,질문성,448,2025-02-01 19:28
978526,99년생 고졸 무스펙 사용자가 반복적으로 글을 올려 궁금증을 유발합니다.,어그로입니다. 글은 무시하세요.,99년생; 고졸; 반복 글,질문성,327,2025-02-01 19:12
978524,"주휴수당 없이 시급이 12,000원인 피시방 아르바이트에 대한 고민을 공유합니다. 세금 없이 높은 시급이 괜찮은지 묻습니다.",일하면 세금을 내야 합니다.; 주휴수당 포함 시급 계산이 필요합니다.,주휴수당; 시급; 피시방,질문성,296,2025-02-01 18:57
978522,"일급 아르바이트의 조건에 대한 불만을 공유합니다. 자차가 필요하고, 식사가 제공되지 않는 점에 대해 불만을 제기합니다.",자차는 필수입니다. 식사 제공 없으면 걸러야 합니다.; 차가 있으면 출퇴근이 편합니다.,일급 아르바이트; 자차; 식사 제공,경험성,406,2025-02-01 18:40
978520,곤쿠와 용쿠의 계약직 근무 환경을 비교하며 불만을 제기합니다. 곤쿠의 관리자와 업무 환경에 대해 부정적인 경험을 공유합니다.,동의합니다.; 관리자가 부당하게 대우합니다.,곤쿠; 용쿠; 계약직,경험성,227,2025-02-01 18:22
978518,영화관 아르바이트의 난이도에 대해 묻습니다. 근무 난이도가 궁금합니다.,영화관 아르바이트는 주로 매점 업무입니다.; 무대인사나 대형관은 힘들 수 있습니다.,영화관 아르바이트; 난이도; 매점,질문성,314,2025-02-01 17:54
978516,파바 주말 오픈 알바비 지급일에 대한 문의입니다. 알바비가 언제 지급되는지 궁금합니다.,사장님께 물어보세요.; 주말이라 월요일에 지급될 수 있습니다.,파바; 알바비 지급; 주말,질문성,181,2025-02-01 17:38
978512,제빵업계에서의 경험을 공유하고 조언을 구합니다. 초기 업무의 어려움을 호소하며 어떻게 개선할 수 있을지 묻습니다.,자격증을 따는 것이 좋습니다.; 기초가 중요합니다.,제빵업계; 초기 업무; 조언,질문성,171,2025-02-01 17:11
