talkNo,title,content,content_date,comments
978459,카페 면접보기로 했는데 이력서 필수인가요??,뭘 뽑아야하는지도 모르겠어서요 ㅠㅠ,2025-02-01 01:29,[]
978458,병원보조 업무 투잡가능?,일산ㅊ병원 건진보조랑 다른 간호보조 업무 해본사람?혹시 병원에서 일할때 겸업금지 조항 있어?의료인도 아니고 그냥 보조업무인데수입이 병원보다 다른 근무지가 조금더 높아서근데 겸업금지 조항 있어도 근무 가능하지 않아?그 사람들이 알려면 조회를 해야되는데 그게 개인정보 침해여서함부로 확인을 못한다고 하더라그래서 작년에 드럭스토어 일하는 동안 겸업금지인데 투잡했거든? 근데 모르던데? 애초에 내가 말을 안하면 모르더라,2025-02-01 01:23,[]
978457,심각한 고민,25인데 친구 1명 믿고 현장직 따라가서 2년동안 노가다 했습니다회사 30군대 중소기업 지원해도 다 떨서졌어요알바도 지원했는데 전부다 떨어졌어요2달동안 집에서 있으니까 바보 같아요회사 다 떨어지고 알바 다 떨어지고할수있는거 없고원하는거 없고무엇을 결정하고 선택하고 모르겠습니다인터넷도 잘 못만지고국민취업제도 신청해도 조건이 안된다 하고 미치겠습니다운전도 못하고모든게 두렵고 겁이나고 무서워요병원을 가고싶어도 돈이 필요해서 못가고있고자격증 따고싶으면 돈들고국가 자격증도 있는데 하는법도 모르고요정말 사는게 힘드네요진짜 사는게 닶일까요?,2025-02-01 00:54,"[{""comment_date"": ""2025-02-01 00:58"", ""comment_text"": ""님처럼 그런 상황에 놓은 사람들 많아요 하늘이 무너져도 피할 구멍은 있다고 했어요""}, {""comment_date"": ""2025-02-01 01:18"", ""comment_text"": ""힘내세요 백화점알바라도 지원해보세요 뭐든 하시면 또다른 새로운 기회가 열릴수도 있습니다.저도 예전에 백화점알바하다가 우연히 총무팀공고떠서  지원했는데 평소 알바하면서 슈퍼바이저분들께 이미지가 좋게 인지되어있어서 붙어서 꽤 일하면서 도움많이 되었습니다 !! 사는게 무조건 답이에요!!""}, {""comment_date"": ""2025-02-01 01:29"", ""comment_text"": ""화이팅입니다""}]"
978456,Cu 편의점 알바 해보신 분 계신가요?..,"Cu 알바 자리 나서 시급도 괜찮길래 지원하고 면접보고 다음 주에 첫 출근 하기로 했어요.근데 20살에 세븐일레븐 6개월 정도? 해봤던 경험만 있는데 그때 어렵지 않았던 것 같은데, 한 지 너무 오래 지났고, 포스기가 다를 것 같아서 또 완전 기계치라 잘할 수 있을까 너무 걱정이 돼서요.. 혹시 근무해보셨거나, 하고 계신 분이 계시다면 이정도는 알아갔음 좋겠다, 또는 다음 근무자가 이렇게 했음 좋겠다 하는 팁 같은 거 알려주실 수 있나요.. 참고해서 해볼게요 ! 참고로 시간대는 저녁 6시부터 11시까지입니다!",2025-02-01 00:45,[]
978454,온라인 지원,새벽에 온라인 지원은 좀 그런가요?...,2025-02-01 00:20,"[{""comment_date"": ""2025-02-01 00:22"", ""comment_text"": ""온라인은 상관없듬""}]"
978453,알바 주휴수당,"주 2일 일하고 하루에 9시간 일하는데, 시급 11000원 기준 한달에 주휴수당 포함하면 총 얼마 받는지 알 수 있을까요?정확한 금액으로 말해주세요..ㅠ",2025-02-01 00:20,"[{""comment_date"": ""2025-02-01 01:02"", ""comment_text"": ""주휴 미포함 총 금액: 860,357\n\n주휴 포함 총 금액: 1,032,428\n주휴 수당 금액: 172,071\n\n이게 꼭 정확할 수가 없는 게 하시는 근무처마다 4대보험이나 뭐 떼가는 것들이 있음 달라질 수 있는 것 같더라고요 하루 빠지는 것들도 주휴 미포함으로 되니 급여 받으실 때 급여명세서 같은 거 보내달라고 해보세요!""}]"
978452,한줄톡,온라인 알바 새벽에 지원해도 괜찮을까요,2025-02-01 00:18,[]
978451,쿠팡 파트,"쿠팡 지원하려고하는데허브, 입고, 포장, 반품 등등 뭐가 많더라고요뭐 다 힘들고 쉬운일은 없겠지만 뭐가 제일 빡세고 뭐가 그중에 제일 하기 괜찮은가요?예전에 마켓컬리인가 무슨 파트인진 모르겠는데 포장된 제품을 불 들어오는곳 바구니에 넣눈걸 했었는데 진짜 힘들었는데 이게 허브인가요?",2025-02-01 00:10,"[{""comment_date"": ""2025-02-01 00:14"", ""comment_text"": ""허브만 피하셈""}, {""comment_date"": ""2025-02-01 00:48"", ""comment_text"": ""허브요\n출고되는 물품들 나오면 파렛트에 적재하고 랩핑 감는거애요 적재잘하셔야 해요""}]"
978450,에이블리 어제공고뜬거,연락왔나요??전에 몇번갔었고어제 공고떴길래 지원했는데 아직 연락이 없네용ㅠ,2025-02-01 00:09,[]
978449,공공기관인데 콜센터직원은 정직원은 아님??,공공기간인 국민건강보험공단 대표번호 상담직원 구인인데... 이해가 안되는건 공단에서 직접 구인하는게 아니고 이름도 이상한 아웃소싱 컨설턴트같은 채용전문기업이래요 ...그리고 같은 내용으로 다 다른곳에서 모집이 엄청 많이 올라와 있어요... 그럼 콜센터 용역같은 개념일까요? 보험공단에서 일해도 그쪽 직원은 아닌건가???그리고 보험료 문의 등 간단한 답변 업무라는데 왜 타이핑 속도거 중요한거죠?? 뭘 많이 써야하나요??15일 교육 평가후 합격자 최종 발표하고 15일간 3만원씩 지급한다는데 이 기간동안 실질적인 업무도 하나요??아니면 하루 8시간씩 15일 총 120시간 내내 업무에 대한 교육만 듣는건가요??중도 포기시 전액 미지급이라고 강조된거보면 많이들 포기한다는거 같은데... 3만원씩 일당주고 15일 일 시키기고 안뽑으면 그만이니까 회사입장에선 손해보는게 없을거 같은데요??혹시 해보신분.....??,2025-01-31 23:40,[]
