id,content,comments,keywords,tendency,views,date,primary_category,secondary_category
978572,"최근 프랜차이즈 카페에서 아르바이트 구하기가 어렵습니다. 여러 곳에 지원했으나 면접 후 연락이 오지 않거나, 이력서만 보고 연락이 없는 경우가 많습니다. 거리와 나이 등의 이유로 지원이 거절되기도 합니다. 단순한 아르바이트 구하기가 점점 어려워지고 있습니다.",없음,아르바이트 구직; 프랜차이즈 카페; 면접,경험성,15,2025-02-02 00:23,취업 및 채용 관련,면접 및 지원 과정
978571,"해보고 싶은 아르바이트에 지원했으나, 연락을 받지 못하고 새로운 공고가 올라왔습니다. 이런 상황에서 다시 지원해야 하는지, 포기해야 하는지 고민됩니다.",연락이 없는 이유를 알 수 없어 답답합니다.,아르바이트 지원; 연락 대기; 지원 고민,질문성,23,2025-02-02 00:18,취업 및 채용 관련,면접 및 지원 과정
978570,"애슐리퀸즈에서 12시부터 6시까지 세척 아르바이트를 혼자 해야 한다고 합니다. 혼자서 가능한 일인지 고민됩니다. 매장은 바쁘지 않다고 하지만, 경험이 없어 조언이 필요합니다.",없음,세척 아르바이트; 애슐리퀸즈; 일의 적합성,질문성,25,2025-02-02 00:07,업종별 아르바이트,노동 및 고용 관련 이슈
978569,"두 달간 아르바이트를 그만두어야 할 상황입니다. 여러 가지 이유로 인해 그만두는 것이 민폐인지 고민하고 있습니다. 동료와의 불화, 긴 출퇴근 시간, 불안 등 여러 요인으로 인해 스트레스를 받고 있습니다.",없음,아르바이트 종료; 직장 스트레스; 출퇴근 문제,질문성,25,2025-02-02 00:06,노동 및 고용 관련 이슈,직장 내 문화 및 관계
978568,"백화점 직원으로 일하는데, 계약서에 고용 형태, 근로 기간, 퇴직금이 명시되지 않았습니다. 출퇴근 기록 시스템도 없고, 백화점 직원 출입증도 발급받지 못하는 상황입니다. 이런 조건에서 계속 일해야 할지 고민됩니다.",없음,고용 조건; 백화점 직원; 계약 문제,질문성,36,2025-02-02 00:00,고용 형태 및 계약,노동 및 고용 관련 이슈
978567,쿠팡에서 계약직 퇴사 후 다른 센터에서 단기 근무가 가능한지 궁금합니다. 퇴사한 지 한 달도 되지 않은 상황입니다.,3개월 후에 지원 가능합니다.,쿠팡; 계약직; 단기 근무,질문성,24,2025-02-01 23:59,고용 형태 및 계약,노동 및 고용 관련 이슈
978565,"모델하우스 텔레마케팅 아르바이트를 하게 되었는데, 꿀팁이나 조언을 구하고 싶습니다. 또한, 텔레마케팅이 사기라는 의견도 있어 걱정됩니다.",없음,모델하우스; 텔레마케팅; 아르바이트 조언,질문성,20,2025-02-01 23:52,업종별 아르바이트,노동 및 고용 관련 이슈
978564,"개인 카페에서 7개월 일하다가 동료와의 갈등으로 그만두었습니다. 평소에는 좋은 분이지만, 감정 기복이 심하여 갈등이 생겼습니다. 사장님은 좋은 분이셨지만, 동료와의 문제로 인해 퇴사하게 되었습니다.",없음,카페 아르바이트; 동료 갈등; 퇴사 결정,경험성,78,2025-02-01 23:42,노동 및 고용 관련 이슈,직장 내 문화 및 관계
978562,"ㅅㅅㄱ 계열 와인 판매 샵에서 아르바이트를 고민 중입니다. 시급이 높아 매력적이지만, 일에 대한 확신이 서지 않아 고민됩니다.",없음,와인 판매; 아르바이트; 시급,질문성,15,2025-02-01 23:32,업종별 아르바이트,급여 및 보상 관련
978561,"배달 전문 카페에서 같은 알바생이 잔소리가 심하여 스트레스를 받고 있습니다. 집과 가까운 거리의 좋은 자리이지만, 주말 알바생의 간섭이 심하여 고민 중입니다.",다른 카페에서도 비슷한 경험을 했습니다.; 작은 일로 스트레스 받는 상황이 이해됩니다.; 사장보다 더한 알바생의 간섭이 문제입니다.,배달 카페; 알바 갈등; 스트레스,경험성,95,2025-02-01 23:25,노동 및 고용 관련 이슈,직장 내 문화 및 관계
